iter	Passed	Remaining
321	1261	2657
322	1265	2653
323	1270	2649
324	1273	2645
325	1277	2641
326	1281	2637
327	1285	2632
328	1289	2629
329	1293	2625
330	1297	2622
331	1301	2617
332	1305	2614
333	1309	2610
334	1313	2606
335	1316	2602
336	1320	2598
337	1324	2594
338	1328	2590
339	1332	2586
340	1336	2582
341	1340	2578
342	1344	2575
343	1348	2570
344	1352	2566
345	1355	2562
346	1359	2558
347	1363	2555
348	1367	2551
349	1371	2547
350	1375	2543
351	1379	2539
352	1383	2535
353	1387	2531
354	1391	2527
355	1394	2523
356	1398	2519
357	1402	2515
358	1406	2511
359	1410	2507
360	1414	2503
361	1418	2500
362	1422	2496
363	1426	2492
364	1430	2488
365	1434	2484
366	1438	2481
367	1442	2477
368	1446	2473
369	1450	2469
370	1454	2465
371	1458	2461
372	1462	2457
373	1466	2454
374	1470	2450
375	1473	2446
376	1477	2441
377	1481	2437
378	1485	2433
379	1489	2429
380	1493	2425
381	1497	2422
382	1500	2418
383	1504	2413
384	1508	2409
385	1512	2405
386	1516	2401
387	1520	2398
388	1524	2393
389	1527	2389
390	1531	2385
391	1535	2381
392	1538	2377
393	1542	2372
394	1546	2368
395	1550	2364
396	1554	2360
397	1558	2357
398	1562	2353
399	1566	2349
400	1570	2345
401	1573	2341
402	1578	2337
403	1581	2333
404	1585	2329
405	1589	2325
406	1593	2322
407	1597	2318
408	1601	2314
409	1605	2310
410	1609	2306
411	1613	2302
412	1617	2299
413	1621	2295
414	1625	2291
415	1629	2287
416	1632	2282
417	1636	2278
418	1640	2275
419	1644	2270
420	1648	2266
421	1651	2262
422	1656	2259
423	1660	2255
424	1664	2251
425	1667	2247
426	1672	2243
427	1675	2239
428	1679	2235
429	1683	2231
430	1687	2227
431	1690	2223
432	1694	2219
433	1698	2215
434	1702	2211
435	1706	2207
436	1710	2203
437	1714	2199
438	1718	2195
439	1722	2191
440	1726	2187
441	1730	2184
442	1734	2180
443	1737	2176
444	1741	2172
445	1745	2168
446	1749	2164
447	1753	2160
448	1757	2156
449	1761	2152
450	1764	2148
451	1768	2144
452	1772	2140
453	1776	2136
454	1780	2133
455	1784	2129
456	1788	2125
457	1792	2121
458	1796	2117
459	1800	2113
460	1803	2109
461	1807	2105
462	1811	2101
463	1815	2097
464	1819	2093
465	1823	2089
466	1827	2085
467	1831	2081
468	1835	2077
469	1838	2073
470	1842	2069
471	1846	2065
472	1850	2061
473	1854	2057
474	1858	2053
475	1862	2050
476	1866	2046
477	1870	2043
478	1874	2039
479	1878	2035
480	1882	2031
481	1885	2026
482	1889	2022
483	1894	2019
484	1898	2015
485	1901	2011
486	1905	2007
487	1909	2003
488	1913	1999
489	1916	1995
490	1920	1991
491	1924	1987
492	1928	1983
493	1931	1978
494	1936	1975
495	1939	1971
496	1943	1967
497	1947	1963
498	1951	1959
499	1954	1954
500	1959	1951
501	1962	1947
502	1966	1943
503	1970	1939
504	1974	1935
505	1978	1931
506	1982	1927
507	1986	1923
508	1989	1919
509	1993	1915
510	1997	1911
511	2001	1907
512	2005	1903
513	2009	1899
514	2013	1896
515	2017	1892
516	2021	1888
517	2024	1884
518	2028	1880
519	2032	1876
520	2037	1872
521	2040	1868
522	2044	1865
523	2048	1861
524	2052	1857
525	2056	1853
526	2060	1849
527	2064	1845
528	2068	1841
529	2072	1837
530	2076	1833
531	2079	1829
532	2083	1825
533	2087	1821
534	2091	1817
535	2095	1813
536	2099	1810
537	2103	1806
538	2106	1802
539	2110	1798
540	2114	1794
541	2118	1790
542	2122	1786
543	2126	1782
544	2130	1778
545	2134	1774
546	2137	1770
547	2141	1766
548	2145	1762
549	2149	1758
550	2153	1754
551	2157	1750
552	2161	1747
553	2165	1743
554	2169	1739
555	2173	1735
556	2177	1731
557	2181	1727
558	2185	1723
559	2188	1719
560	2193	1716
561	2196	1712
562	2200	1708
563	2204	1704
564	2208	1700
565	2212	1696
566	2216	1692
567	2220	1688
568	2223	1684
569	2227	1680
570	2231	1676
571	2235	1672
572	2239	1668
573	2243	1665
574	2247	1661
575	2251	1657
576	2254	1653
577	2258	1649
578	2262	1644
579	2266	1640
580	2269	1637
581	2273	1633
582	2277	1629
583	2282	1625
584	2285	1621
585	2289	1617
586	2293	1613
587	2297	1609
588	2301	1605
589	2305	1601
590	2308	1597
591	2312	1594
592	2316	1590
593	2320	1586
594	2324	1582
595	2328	1578
596	2332	1574
597	2336	1570
598	2340	1566
599	2344	1562
600	2347	1558
601	2351	1554
602	2355	1550
603	2359	1546
604	2363	1543
605	2367	1539
606	2371	1535
607	2375	1531
608	2379	1527
609	2383	1523
610	2387	1519
611	2391	1516
612	2395	1512
613	2399	1508
614	2403	1504
615	2406	1500
616	2410	1496
617	2414	1492
618	2418	1488
619	2422	1484
620	2425	1480
621	2429	1476
622	2433	1472
623	2437	1468
624	2441	1465
625	2445	1461
626	2449	1457
627	2453	1453
628	2456	1449
629	2460	1445
630	2464	1441
631	2468	1437
632	2472	1433
633	2476	1429
634	2480	1425
635	2484	1421
636	2488	1417
637	2492	1414
638	2495	1410
639	2499	1406
640	2503	1402
641	2507	1398
642	2511	1394
643	2515	1390
644	2518	1386
645	2522	1382
646	2526	1378
647	2530	1374
648	2534	1370
649	2538	1366
650	2542	1362
651	2545	1358
652	2549	1354
653	2553	1350
654	2557	1346
655	2561	1343
656	2564	1339
657	2568	1335
658	2572	1331
659	2576	1327
660	2580	1323
661	2584	1319
662	2588	1315
663	2592	1312
664	2596	1308
665	2600	1304
666	2604	1300
667	2608	1296
668	2612	1292
669	2616	1288
670	2620	1284
671	2624	1280
672	2627	1276
673	2631	1273
674	2636	1269
675	2640	1265
676	2643	1261
677	2647	1257
678	2651	1253
679	2655	1249
680	2659	1245
681	2663	1241
682	2667	1238
683	2671	1234
684	2674	1230
685	2678	1226
686	2682	1222
687	2686	1218
688	2690	1214
689	2693	1210
690	2697	1206
691	2701	1202
692	2705	1198
693	2708	1194
694	2712	1190
695	2716	1186
696	2720	1182
697	2724	1178
698	2728	1174
699	2732	1170
700	2736	1167
701	2740	1163
702	2744	1159
703	2747	1155
704	2751	1151
705	2755	1147
706	2758	1143
707	2762	1139
708	2766	1135
709	2770	1131
710	2774	1127
711	2778	1123
712	2782	1119
713	2786	1116
714	2790	1112
715	2793	1108
716	2797	1104
717	2801	1100
718	2805	1096
719	2809	1092
720	2812	1088
721	2816	1084
722	2820	1080
723	2824	1076
724	2828	1072
725	2832	1069
726	2836	1065
727	2840	1061
728	2843	1057
729	2847	1053
730	2851	1049
731	2855	1045
732	2858	1041
733	2862	1037
734	2866	1033
735	2870	1029
736	2874	1025
737	2878	1021
738	2882	1017
739	2885	1013
740	2889	1009
741	2893	1006
742	2897	1002
743	2901	998
744	2906	994
745	2910	990
746	2914	987
747	2919	983
748	2923	979
749	2927	975
750	2931	972
751	2935	968
752	2940	964
753	2944	960
754	2948	956
755	2952	953
756	2957	949
757	2961	945
758	2965	941
759	2969	937
760	2973	933
761	2977	930
762	2981	926
763	2986	922
764	2990	918
765	2994	914
766	2998	910
767	3002	907
768	3006	903
769	3010	899
770	3015	895
771	3019	891
772	3023	887
773	3027	884
774	3031	880
775	3035	876
776	3039	872
777	3043	868
778	3047	864
779	3051	860
780	3055	856
781	3058	852
782	3062	848
783	3066	844
784	3071	841
785	3075	837
786	3079	833
787	3083	829
788	3087	825
789	3092	821
790	3096	818
791	3100	814
792	3105	810
793	3108	806
794	3113	802
795	3117	799
796	3121	795
797	3125	791
798	3130	787
799	3134	783
800	3138	779
801	3143	776
802	3147	772
803	3151	768
804	3155	764
805	3159	760
806	3163	756
807	3167	752
808	3171	748
809	3176	745
810	3179	741
811	3183	737
812	3187	733
813	3191	729
814	3195	725
815	3199	721
816	3203	717
817	3208	713
818	3212	709
819	3215	705
820	3219	702
821	3224	698
822	3228	694
823	3232	690
824	3236	686
825	3240	682
826	3244	678
827	3248	674
828	3253	671
829	3258	667
830	3261	663
831	3265	659
832	3269	655
833	3274	651
834	3278	647
835	3282	644
836	3287	640
837	3291	636
838	3295	632
839	3299	628
840	3303	624
841	3307	620
842	3311	616
843	3315	612
844	3320	609
845	3323	605
846	3327	601
847	3332	597
848	3336	593
849	3340	589
850	3344	585
851	3348	581
852	3352	577
853	3356	573
854	3360	569
855	3364	565
856	3368	562
857	3372	558
858	3375	554
859	3379	550
860	3385	546
861	3389	542
862	3392	538
863	3396	534
864	3402	530
865	3407	527
866	3412	523
867	3418	519
868	3423	516
869	3427	512
870	3432	508
871	3438	504
872	3442	500
873	3446	496
874	3452	493
875	3457	489
876	3461	485
877	3466	481
878	3472	477
879	3476	474
880	3481	470
881	3486	466
882	3490	462
883	3495	458
884	3501	455
885	3505	451
886	3510	447
887	3516	443
888	3520	439
889	3524	435
890	3530	431
891	3535	428
892	3539	424
893	3545	420
894	3550	416
895	3555	412
896	3560	408
897	3566	405
898	3570	401
899	3574	397
900	3579	393
901	3584	389
902	3588	385
903	3595	381
904	3600	377
905	3605	374
906	3611	370
907	3616	366
908	3621	362
909	3627	358
910	3632	354
911	3637	350
912	3643	347
913	3648	343
914	3652	339
915	3658	335
916	3664	331
917	3668	327
918	3674	323
919	3680	320
920	3683	315
921	3690	312
922	3695	308
923	3699	304
924	3705	300
925	3711	296
926	3715	292
927	3721	288
928	3727	284
929	3731	280
930	3738	277
931	3743	273
932	3747	269
933	3754	265
934	3760	261
935	3764	257
936	3770	253
937	3776	249
938	3781	245
939	3787	241
940	3793	237
941	3797	233
942	3803	229
943	3808	225
944	3813	221
945	3818	217
946	3822	213
947	3825	209
948	3830	205
949	3834	201
950	3838	197
951	3841	193
952	3846	189
953	3850	185
954	3854	181
955	3858	177
956	3862	173
957	3866	169
958	3871	165
959	3877	161
960	3881	157
961	3884	153
962	3888	149
963	3892	145
964	3896	141
965	3900	137
966	3905	133
967	3909	129
968	3914	125
969	3917	121
970	3921	117
971	3926	113
972	3930	109
973	3934	105
974	3938	100
975	3943	96
976	3947	92
977	3951	88
978	3955	84
979	3959	80
980	3963	76
981	3967	72
982	3970	68
983	3975	64
984	3979	60
985	3983	56
986	3987	52
987	3991	48
988	3994	44
989	3998	40
990	4004	36
991	4008	32
992	4012	28
993	4016	24
994	4020	20
995	4023	16
996	4027	12
997	4031	8
998	4035	4
999	4039	0
