iter	RMSE
287	348133.9698
288	347983.8036
289	347900.328
290	347821.7691
291	347703.1037
292	347514.3554
293	347412.4117
294	347260.4037
295	347180.4402
296	347094.9237
297	347037.184
298	346984.2615
299	346963.7003
300	346829.9776
301	346696.4344
302	346643.1457
303	346353.9323
304	346304.4628
305	346047.05
306	345785.9079
307	345581.0895
308	345450.4988
309	345157.0079
310	344936.592
311	344879.0212
312	344738.3779
313	344481.6
314	344295.5576
315	344148.6033
316	344033.9184
317	343890.3313
318	343776.599
319	343680.515
320	343458.1095
321	343300.3061
322	343280.5335
323	343186.2328
324	343040.6773
325	342911.8319
326	342787.311
327	342712.5532
328	342530.5814
329	342392.4027
330	342036.7943
331	341871.9702
332	341754.6699
333	341726.2944
334	341576.939
335	341446.2041
336	341428.2015
337	341320.5854
338	341218.447
339	341109.5143
340	340981.4388
341	340742.5955
342	340427.3694
343	340185.7924
344	340109.9469
345	340026.0498
346	339908.379
347	339823.2092
348	339633.3512
349	339421.8881
350	339277.1925
351	339203.1033
352	339086.0875
353	338965.476
354	338721.1194
355	338470.2332
356	338372.6203
357	338268.1411
358	338079.6204
359	337998.221
360	337893.1992
361	337794.7662
362	337726.1075
363	337647.4794
364	337543.7112
365	337451.578
366	337272.078
367	337188.1704
368	337095.7195
369	336896.4296
370	336826.8989
371	336695.6352
372	336628.639
373	336463.1855
374	336382.2546
375	336261.3513
376	336157.9165
377	336088.6067
378	335952.4643
379	335737.2487
380	335641.2018
381	335576.8784
382	335426.4475
383	335356.8193
384	335312.2859
385	335202.9321
386	335184.4734
387	335120.7869
388	335080.6413
389	335005.2857
390	334895.7934
391	334755.0756
392	334562.66
393	334539.5802
394	334478.992
395	334420.234
396	334374.4651
397	334309.232
398	334204.2575
399	334073.7963
400	333929.2843
401	333867.218
402	333822.0189
403	333692.1529
404	333615.3814
405	333598.9473
406	333501.6012
407	333373.7704
408	333215.8791
409	333148.9611
410	332989.145
411	332935.5784
412	332751.8027
413	332677.5659
414	332469.657
415	332382.5829
416	332264.3023
417	332196.247
418	332045.4752
419	331930.6301
420	331788.0848
421	331715.682
422	331660.6304
423	331583.62
424	331550.0571
425	331404.5759
426	331290.9603
427	331227.6452
428	331172.4951
429	331113.81
430	330973.6963
431	330907.1111
432	330786.8212
433	330683.5889
434	330598.1327
435	330491.5287
436	330435.8771
437	330387.1707
438	330318.195
439	330264.1587
440	330174.2856
441	330146.2783
442	330071.5657
443	330011.8953
444	329900.285
445	329847.5352
446	329774.7494
447	329654.4633
448	329624.2227
449	329514.3464
450	329429.0426
451	329361.8757
452	329301.3737
453	329212.1839
454	328991.6957
455	328973.8194
456	328931.6632
457	328895.3472
458	328856.5297
459	328675.4687
460	328630.3296
461	328492.814
462	328431.7535
463	328291.5009
464	328256.01
465	328188.1333
466	328083.8378
467	328032.6226
468	327959.128
469	327862.313
470	327737.7348
471	327578.0875
472	327458.0044
473	327403.9924
474	327354.4451
475	327228.0442
476	327177.7977
477	327048.3246
478	326990.3094
479	326926.5631
480	326771.4911
481	326703.4322
482	326659.2551
483	326580.6698
484	326455.1851
485	326331.1596
486	326250.2828
487	326116.1806
488	325994.6559
489	325883.5651
490	325853.6497
491	325743.5324
492	325630.8349
493	325569.5997
494	325512.2497
495	325437.0469
496	325353.4016
497	325244.0049
498	325172.8769
499	325142.4866
500	325088.1214
501	325026.0175
502	324988.772
503	324909.3416
504	324839.639
505	324774.0262
506	324711.0095
507	324614.828
508	324555.4787
509	324519.8177
510	324431.6095
511	324323.6064
512	324286.7645
513	324227.8473
514	324171.0612
515	324138.5262
516	324069.2117
517	324006.2635
518	323962.0339
519	323919.1844
520	323708.7313
521	323660.8877
522	323558.9037
523	323516.8763
524	323395.3621
525	323265.5013
526	323179.6808
527	323131.1253
528	323014.8363
529	322951.8526
530	322857.5667
531	322795.0121
532	322688.4878
533	322661.1719
534	322575.5405
535	322484.4223
536	322433.6232
537	322408.2321
538	322358.5467
539	322272.1471
540	322221.2885
541	322103.2102
542	321991.3483
543	321978.6442
544	321872.0963
545	321751.7805
546	321686.4342
547	321630.3084
548	321548.0072
549	321488.9649
550	321454.2401
551	321403.6895
552	321317.0607
553	321276.2752
554	321171.0859
555	321082.1189
556	320896.0187
557	320810.0669
558	320731.0382
559	320635.8978
560	320526.1765
561	320473.7385
562	320384.1643
563	320348.0421
564	320241.1718
565	320161.5686
566	320080.5393
567	320004.3419
568	319900.8289
569	319870.8662
570	319807.6884
571	319751.1266
572	319684.8655
573	319587.229
574	319549.613
575	319519.1046
576	319422.0198
577	319374.9203
578	319343.7811
579	319285.8159
580	319196.3551
581	319150.4753
582	319107.6378
583	319040.0351
584	318954.8636
585	318930.0184
586	318882.9754
587	318838.6357
588	318797.7515
589	318744.8831
590	318653.591
591	318599.0373
592	318561.8008
593	318508.9643
594	318439.5388
595	318431.8594
596	318401.9185
597	318342.41
598	318288.186
599	318213.1991
600	318171.7473
601	318075.8785
602	318026.2471
603	317920.1769
604	317853.7048
605	317775.7983
606	317713.2057
607	317673.0945
608	317592.0727
609	317527.7008
610	317497.4851
611	317405.8583
612	317329.1589
613	317247.3541
614	317141.2277
615	317075.3502
616	316927.2182
617	316780.3451
618	316711.3648
619	316638.7027
620	316611.1818
621	316573.1368
622	316527.3148
623	316475.8266
624	316412.5521
625	316352.912
626	316286.1622
627	316250.7768
628	316189.1826
629	316137.1475
630	316099.5617
631	316007.7443
632	315947.2992
633	315913.3868
634	315849.0064
635	315792.9814
636	315744.3931
637	315661.1267
638	315594.2422
639	315481.5978
640	315423.1353
641	315391.0912
642	315368.7985
643	315271.9312
644	315245.9849
645	315157.2767
646	315104.2347
647	315056.5723
648	315024.3563
649	314964.7721
650	314892.4064
651	314848.4445
652	314795.9128
653	314741.4831
654	314696.6266
655	314644.2873
656	314620.3699
657	314603.9699
658	314523.1445
659	314466.5479
660	314415.3893
661	314345.8909
662	314312.1642
663	314228.4309
664	314190.5351
665	314124.7622
666	314096.489
667	314049.7078
668	313952.6265
669	313885.4794
670	313840.4039
671	313820.1644
672	313771.7093
673	313714.1628
674	313654.703
675	313550.9184
676	313511.8258
677	313400.4076
678	313340.2914
679	313286.5236
680	313255.2455
681	313207.9718
682	313136.0111
683	313068.5316
684	313008.5749
685	312974.6201
686	312942.6422
687	312888.6911
688	312837.7755
689	312758.1641
690	312689.6832
691	312650.9712
692	312619.1368
693	312562.5359
694	312513.7495
695	312443.8052
696	312416.7503
697	312357.0205
698	312245.7401
699	312212.1175
700	312110.2574
701	311997.1859
702	311960.9776
703	311946.6266
704	311894.897
705	311858.3754
706	311818.2613
707	311800.4659
708	311720.5814
709	311628.8901
710	311604.1913
711	311507.0652
712	311474.4317
713	311444.2018
714	311398.52
715	311352.3266
716	311299.5761
717	311252.5574
718	311227.2119
719	311172.9116
720	311130.7076
721	311092.6012
722	311046.4061
723	310985.736
724	310927.8568
725	310914.9084
726	310878.662
727	310843.5436
728	310792.9927
729	310726.7274
730	310654.4252
731	310601.178
732	310559.7951
733	310511.2344
734	310405.3779
735	310357.5536
736	310285.2881
737	310244.5263
738	310192.4831
739	310102.8337
740	310071.7513
741	310054.9118
742	310015.8164
743	309985.3136
744	309944.8542
745	309915.1584
746	309873.1648
747	309839.4933
748	309803.3741
749	309759.1802
750	309720.4196
751	309691.7285
752	309648.5668
753	309608.5083
754	309586.4734
755	309534.478
756	309500.885
757	309475.5512
758	309411.2407
759	309372.2793
760	309343.4823
761	309321.6314
762	309261.7105
763	309205.714
764	309154.0336
765	309104.338
766	309046.0272
767	308990.546
768	308958.2796
769	308877.7751
770	308830.2136
771	308771.9031
772	308735.2941
773	308687.7383
774	308647.0857
775	308596.0281
776	308514.3856
777	308455.189
778	308391.4256
779	308364.5618
780	308265.1534
781	308183.078
782	308145.1309
783	308039.15
784	308012.7629
785	307979.102
786	307932.2489
787	307893.415
788	307851.0709
789	307793.1049
790	307752.2448
791	307731.2853
792	307678.0794
793	307643.7171
794	307585.2282
795	307542.1581
796	307487.4111
797	307434.2721
798	307373.0116
799	307319.4552
800	307291.0157
801	307240.3153
802	307201.34
803	307167.2199
804	307111.959
805	307080.4176
806	306984.205
807	306930.4449
808	306882.7516
809	306830.1832
810	306795.5132
811	306723.6492
812	306683.4196
813	306595.3018
814	306559.9145
815	306505.2367
816	306385.4465
817	306333.6997
818	306280.0252
819	306243.2752
820	306215.7129
821	306127.8286
822	306086.9725
823	306031.9081
824	305995.1474
825	305965.1913
826	305929.5078
827	305883.3954
828	305834.8355
829	305753.012
830	305708.2565
831	305662.6455
832	305581.7224
833	305548.2667
834	305517.0857
835	305482.4249
836	305421.3454
837	305365.0784
838	305361.9429
839	305318.2627
840	305272.2831
841	305179.8247
842	305149.0564
843	305113.0871
844	305079.2633
845	305047.2991
846	304998.9258
847	304966.2508
848	304932.5406
849	304900.3799
850	304858.9563
851	304828.2091
852	304776.2503
853	304743.6796
854	304715.9523
855	304692.5928
856	304667.4539
857	304606.2767
858	304577.6967
859	304536.5497
860	304507.2798
861	304464.7217
862	304434.9269
863	304396.693
864	304365.6356
865	304332.0942
866	304297.9612
867	304257.579
868	304228.641
869	304200.426
870	304160.3519
871	304115.3632
872	304082.2476
873	304034.7672
874	304012.9172
875	303984.3959
876	303938.5261
877	303863.6382
878	303837.1144
879	303804.8801
880	303750.0018
881	303717.6327
882	303681.9566
883	303615.8352
884	303563.9081
885	303537.197
886	303498.3261
887	303468.6319
888	303443.163
889	303417.8654
890	303390.1653
891	303357.6477
892	303336.884
893	303300.1875
894	303257.6479
895	303215.7334
896	303162.162
897	303119.05
898	303090.2856
899	303055.807
900	303002.1357
901	302967.2259
902	302916.8296
903	302865.5188
904	302836.0946
905	302781.2385
906	302711.4345
907	302671.6506
908	302615.2791
909	302577.0246
910	302543.5795
911	302466.9952
912	302429.8196
913	302382.8705
914	302337.403
915	302310.8718
916	302286.155
917	302245.9052
918	302200.6497
919	302166.2805
920	302123.7301
921	302084.3024
922	302047.3579
923	301918.9234
924	301894.0032
925	301857.5245
926	301789.5325
927	301775.3821
928	301667.3716
929	301618.0995
930	301564.8503
931	301535.6256
932	301498.4144
933	301454.4878
934	301407.0518
935	301386.7777
936	301329.1092
937	301288.7154
938	301258.8181
939	301240.843
940	301199.853
941	301159.093
942	301143.6918
943	301081.1039
944	301053.3384
945	300984.1237
946	300956.0362
947	300891.0492
948	300872.268
949	300849.2704
950	300814.4906
951	300797.6613
952	300769.4924
953	300747.8314
954	300706.6583
955	300685.5721
956	300661.7611
957	300640.6157
958	300578.7287
959	300529.2383
960	300476.0654
961	300419.0774
962	300399.0162
963	300379.0075
964	300355.3533
965	300310.6348
966	300279.455
967	300245.9018
968	300219.2043
969	300185.1425
970	300151.4666
971	300132.8188
972	300082.2129
973	300023.5532
974	299993.6221
975	299956.5663
976	299895.2082
977	299869.8293
978	299845.0031
979	299833.9148
980	299807.4371
981	299776.5718
982	299757.1371
983	299726.594
984	299654.4001
985	299596.0806
986	299582.7729
987	299539.2469
988	299523.0399
989	299452.6443
990	299422.1746
991	299398.503
992	299352.4566
993	299322.541
994	299253.9675
995	299231.684
996	299186.1598
997	299100.4771
998	299070.6997
999	299060.2673
